Nr,x,y,H,Kodi,Përshkrimi,Burimi
220086,7512362.388,4694374.66,620.669,11,Monoment,PM
5001,7519006.922,4698108.252,664.614,1,Guri,PM
5016,7519047.188,4698104.222,664.935,-,-,PM
5031,7519004.544,4698286.16,651.921,2,Kunjë - shtyllë metalike,PM
38876,7518959.738,4698282.408,648.955,1,Guri,PM
38879,7519020.438,4698286.115,652.7822,1,Guri,PM
38884,7519076.146,4698227.376,653.897,2,Kunjë - shtyllë metalike,PM
38885,7519063.256,4698232.446,654.2,-,-,PM
38889,7519031.706,4698235.117,0,2,Kunjë - shtyllë metalike,PM
38890,7519013.766,4698238.238,651.08,2,Kunjë - shtyllë metalike,PM
38891,7519017.407,4698265.946,652.013,2,Kunjë - shtyllë metalike,PM
38894,7519026.305,4698204.809,652.261,1,Guri,PM
38902,7519018.253,4698162.481,657.72,1,Guri,PM
38938,7519004.914,4698240.543,650.257,2,Kunjë - shtyllë metalike,PM
38942,7518983.72,4698246.63,0,2,Kunjë - shtyllë metalike,PM
38951,7518958.517,4698256.32,648.129,-,-,PM
48053,7519079.99,4698224.9,653.868,2,Kunjë - shtyllë metalike,PM
48054,7519075.77,4698205.15,653.661,-,-,PM
48055,7519068.22,4698166.79,656.106,1,Guri,PM
48056,7519062.23,4698137.55,661.318,1,Guri,PM
48057,7519055.38,4698101.95,666.265,1,Guri,PM
48058,7519071.732,4698184.635,653.852,1,Guri,PM
7,7519017.411,4698286.124,652.594,2,Kunjë - shtyllë metalike,PM
9,7519010.1,4698239.193,650.501,2,Kunjë - shtyllë metalike,PM
10,7519036.788,4698234.528,652.016,2,Kunjë - shtyllë metalike,PM
20,7519054.309,4698226.785,652.697,2,Kunjë - shtyllë metalike,PM
21,7519052.107,4698227.006,652.656,2,Kunjë - shtyllë metalike,PM
40,7519042.092,4698104.732,664.847,2,Kunjë - shtyllë metalike,PM
43,7519020.859,4698106.857,664.619,2,Kunjë - shtyllë metalike,PM
48,7518986.361,4698284.637,650.722,2,Kunjë - shtyllë metalike,PM
38888,7519052.676,4698232.686,652.805,2,Kunjë - shtyllë metalike,PM
38950,7518983.555,4698248.467,649.565,2,Kunjë - shtyllë metalike,PM
